Exercise_ID,1-Type,Landmark_1,Landmark_2,Landmark_3,Landmark_4,Tolerance,Active phase,Severity,2- Type,Landmark 1,Landmark 2,Landmark 3,Landmark 4,Active phase,Severity,3-Type,Landmark 1,Landmark 2,Landmark 3,Landmark 4,Active phase,Severity
EX002,Horizontal aligned: approximatly equal,Rt elbow,rt shoulder,Neck,lt shoulder,lt elbow,push,,,,,,,,,,,,,,,
EX003,Vertical aligned: approximatly equal,Shoulder,Hip,knee,,,Up,,,,,,,,,,,,,,,
EX004,Vertical aligned: approximatly equal,Shoulder,Hip,knee,,,Up,,,,,,,,,,,,,,,
EX005,,,,,,,,,,,,,,,,,,,,,,
EX006,Vertical aligned: approximatly equal,Shoulder,Hip,,,,"UP,Down,start",TIP,Distance ratio: Should Exceed,RT shoulder,LT Shoulder,RT knee,LT knee,,,,,,,,,
EX008,Vertical aligned: approximatly equal,Shoulder,Hip,,,,"UP,Down,start",Tip,Depth alignment: Approximatly Equal,RT Ankle,LT knee,,,"down,bottom",tip,Vertical alignment,hip,shoulder,,,,
EX010,Vertical aligned: approximatly equal,Shoulder,Hip,,,,"UP,Down,start",Tip,Depth alignment: should exceed,LT knee,RT knee,LT wrist,RT wrist,"down,bottom",tio,,,,,,,
EX011,vertical aligned,shoulder,hip,knee,,,up,tip,Depth alignment: approximatly equal,shoulder,hip,knee,,up,error,,,,,,,
EX014,,,,,,,,,,,,,,,,,,,,,,
EX015,vertical aligned,shoulder,hip,knee,ankle,,"UP,Down,start",Error,,,,,,,,,,,,,,
EX016,horizontal aligned,rt elbow,rt shoulder,lt shouler,lt elbow,,start,error,,,,,,,,,,,,,,
EX017,horizontal aligned,rt elbow,rt shoulder,lt shouler,lt elbow,,start,error,vertical aligned,shoulder,hip,,,"start,up,down",tip,,,,,,,
EX018,distance ratio should not exceed,rt shoulder,lt shoulder,rt elbow,lt elboe,,start,error,vertical aligned,shoulder,hip,,,"start,up,down",tip,,,,,,,
EX051,vertical aligned: approximatly equal,rt shoulder,rt hip,rt knee,,,"Hold, start",error,,,,,,,,,,,,,,
EX053,vertical aligned: approximatly equal,elbow,shoulder,hip,,,"push,pull,start",,Distance ratio: Should not Exceed,RT shoulder,LT Shoulder,rt elbow,lt elbow,"up,down,start",,,,,,,,
EX054,depth alignment: should exceed,rt Shoulder,lt shoulder,rt wrist,lt wrist,,up,,vertical aligned: approximatly equal,RT shoulder,LT Shoulder,rt elbow,lt elbow,"up,down,start",,,,,,,,
EX055,,,,,,,,,,,,,,,,,,,,,,
EX056,depth alignment: should exceed,rt shoulder,lt shoulder,rt elbow,lt elboe,,up,error,,,,,,,,,,,,,,
EX058,depth alignment: should exceed exceed,spine,lt elbow,Rt elbow,,,uo,tip,vertical aligned: approximatly equal,shoulder,hip,knee,,"push,pull,start",,,,,,,,
EX059,vertical aligned: approximatly equal,Shoulder,Hip,knee,,,"up, down, start",,,,,,,,,,,,,,,
EX060,vertical aligned: approximatly equal,Shoulder,Hip,knee,,,"up, down, start",,,,,,,,,,,,,,,
EX061,depth alignment: should exceed,knee,Hip,,,,down,tip,vertical aligned: approximatly equal,hip,spine,shoulder,,"up,down,start",,,,,,,,
EX062,depth alignment: should exceed,knee,Hip,,,,down,tip,vertical aligned: approximatly equal,hip,spine,shoulder,,"up,down,start",,,,,,,,
EX063,depth alignment: should exceed,ankle,wrist,,,,down,tip,Keep Spine neutral,,,,,"up,down,start",,,,,,,,
EX064,vertical aligned: approximatly equal,hip,shoulder,,,,"up, down, start",tip,,,,,,,,,,,,,,
EX065,vertical aligned: approximatly equal,hip,shoulder,,,,"up, down, start",tip,,,,,,,,,,,,,,
EX066,vertical aligned: approximatly equal,hip,shoulder,,,,"UP,Down,start",tip,,,,,,,,,,,,,,
EX067,vertical aligned: approximatly equal,hip,shoulder,,,,,,,,,,,,,,,,,,,
EX068,vertical aligned: approximatly equal,shoulder,hip,knee,ankle,,"UP,Down,start",Error,,,,,,,,,,,,,,
EX069,knee over toe: Don't let knee go past toe,,,,,,,,,,,,,,,,,,,,,
EX070,,,,,,,,,,,,,,,,,,,,,,